"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"966853","1097638","2","1001","","regular, reduced, or less sugar"
"966854","1097638","3","1001","","25% less sugar"
"966852","1097638","1","1001","","nonfat milk"
"985166","1097638","","999","WWEIA Category number","1208"
"993357","1097638","","999","WWEIA Category description","Flavored milk, nonfat"
"966856","1097639","1","1001","","almond, coconut, rice, or soy milk"
"985167","1097639","","999","WWEIA Category number","1404"
"993358","1097639","","999","WWEIA Category description","Milk substitutes"
"966857","1097640","1","1001","","sugar free mix"
"985168","1097640","","999","WWEIA Category number","1204"
"993359","1097640","","999","WWEIA Category description","Flavored milk, reduced fat"
"966858","1097641","1","1001","","sugar free mix"
"985169","1097641","","999","WWEIA Category number","1202"
"993360","1097641","","999","WWEIA Category description","Flavored milk, whole"
"966860","1097642","2","1001","","2% fat"
"966859","1097642","1","1001","","sugar free mix"
"985170","1097642","","999","WWEIA Category number","1204"
"993361","1097642","","999","WWEIA Category description","Flavored milk, reduced fat"
"966861","1097643","1","1001","","sugar free mix"
"966862","1097643","2","1001","","1% fat"
"985171","1097643","","999","WWEIA Category number","1206"
"993362","1097643","","999","WWEIA Category description","Flavored milk, lowfat"
"966865","1097644","3","1001","","skim"
"966863","1097644","1","1001","","nonfat milk"
"966864","1097644","2","1001","","sugar free mix"
"985172","1097644","","999","WWEIA Category number","1208"
"993363","1097644","","999","WWEIA Category description","Flavored milk, nonfat"
"966866","1097645","1","1001","","almond, coconut, rice, or soy milk"
"985173","1097645","","999","WWEIA Category number","1404"
"993364","1097645","","999","WWEIA Category description","Milk substitutes"
"966867","1097646","1","1001","","Nesquik"
"966868","1097646","2","1001","","Hershey's"
"985174","1097646","","999","WWEIA Category number","1204"
"993365","1097646","","999","WWEIA Category description","Flavored milk, reduced fat"
"966869","1097647","1","1001","","Nesquik"
"966870","1097647","2","1001","","Hershey's"
"985175","1097647","","999","WWEIA Category number","1202"
"993366","1097647","","999","WWEIA Category description","Flavored milk, whole"
"966871","1097648","2","1001","","Nesquik"
"966873","1097648","4","1001","","2% fat"
"966872","1097648","3","1001","","Hershey's"
"985176","1097648","","999","WWEIA Category number","1204"
"993367","1097648","","999","WWEIA Category description","Flavored milk, reduced fat"
"966875","1097649","3","1001","","Hershey's"
"966876","1097649","4","1001","","1% fat"
"966874","1097649","2","1001","","Nesquik"
